 |  | main |  | 2023-10-08 16:25:11,432 | INFO  | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/test/sayHello],methods=[GET]}" onto java.lang.String com.alibaba.csp.pts.demo.TestLogController.sayHello(java.lang.String) throws java.lang.Exception 
 |  | main |  | 2023-10-08 16:25:11,445 | INFO  | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
 |  | main |  | 2023-10-08 16:25:11,445 | INFO  | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest) 
 |  | main |  | 2023-10-08 16:25:11,488 | INFO  | org.springframework.web.servlet.handler.SimpleUrlHandlerMapping | Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
 |  | main |  | 2023-10-08 16:25:11,489 | INFO  | org.springframework.web.servlet.handler.SimpleUrlHandlerMapping | Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
 |  | main |  | 2023-10-08 16:25:11,690 | INFO  | org.springframework.jmx.export.annotation.AnnotationMBeanExporter | Registering beans for JMX exposure on startup 
 |  | main |  | 2023-10-08 16:25:11,792 | INFO  | org.apache.coyote.http11.Http11NioProtocol | Starting ProtocolHandler ["http-nio-8099"] 
 |  | main |  | 2023-10-08 16:25:11,797 | INFO  | org.apache.tomcat.util.net.NioSelectorPool | Using a shared selector for servlet write/read 
 |  | main |  | 2023-10-08 16:25:11,824 | INFO  | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | Tomcat started on port(s): 8099 (http) with context path '' 
 |  | main |  | 2023-10-08 16:25:11,830 | INFO  | com.alibaba.csp.pts.demo.DemoApplication | Started DemoApplication in 5.755 seconds (JVM running for 11.043) 
 |  | Thread-5 |  | 2023-10-08 17:49:15,130 | INFO  | org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext | Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@659feb22: startup date [Sun Oct 08 16:25:07 CST 2023]; root of context hierarchy 
 |  | Thread-5 |  | 2023-10-08 17:49:15,161 | INFO  | org.springframework.jmx.export.annotation.AnnotationMBeanExporter | Unregistering JMX-exposed beans on shutdown 
